"id","interval","wake","nrem","rem","ts","tsnrem","tsrem","tsw","nbwake","dbwake","nbnrem","dbnrem","nbrem","dbrem","nbts","dbts","narous","nshifts","latnrem","latrem","onsetrem","cyclrem","b1","b2","b3","b4","b5","b1rpn","b2rpr","b3rpr"
"9432","li4.1",61,53.6666666666667,5.5,59.1666666666667,90.7042253521127,9.29577464788732,NA,12,4.83333333333333,29,1.84482758620690,7,0.785714285714286,29,12.2068965517241,18,66,0,4.5,2.71428571428571,14.1666666666667,349.652683772538,431.894730929265,196.715801664355,93.4662746185853,16.4945963938974,0.316897767609224,0.478743241110368,0.223660036215269
"9432","li4.2",59,57.1666666666667,4,61.1666666666667,93.4604904632153,6.53950953678474,NA,14,4.02380952380952,27,2.09259259259259,4,1,27,13.4444444444444,16,64,0,37.5,4.29166666666667,21.6666666666667,369.264083217753,422.735647711512,193.888700416089,92.9013148404993,16.9646074895978,0.329819141667004,0.472997780850125,0.213592468247388
"9432","dk1.1",72.3333333333333,17.8333333333333,0,17.8333333333333,100,0,NA,8,8.91666666666667,13,1.37179487179487,0,NA,13,8.23076923076923,6,26,12.3333333333333,NA,NA,NA,311.004733826248,360.559565619224,152.115271719039,61.2251219963031,13.5011053604436,0.335817783803727,NA,NA
"9432","dk1.2",65.6666666666667,23.1666666666667,1.33333333333333,24.5,94.5578231292517,5.4421768707483,NA,6,10.8888888888889,9,2.57407407407407,1,1.33333333333333,9,16.3333333333333,2,17,0,1.66666666666667,NA,NA,346.453410351201,386.201125693161,165.352820702403,72.0893678373383,14.5072791127542,0.340607020835601,0.430013446954284,0.251251303036997
"9432","dk2.1",92.3333333333333,56.8333333333333,1,57.8333333333333,98.270893371758,1.72910662824207,NA,15,6.01111111111111,26,2.17948717948718,2,0.5,26,13.3076923076923,13,56,4.66666666666667,12.5,4.41666666666667,39.3333333333333,378.963835738069,428.741734739179,185.663997780244,81.4991964483907,16.3103618201998,0.347270105728939,0.408529300122664,0.291325238859845
"9432","dk2.2",101.333333333333,45.3333333333333,3.5,48.8333333333333,92.8327645051195,7.16723549488055,NA,12,8.30555555555556,20,2.25,2,1.66666666666667,20,14.55,10,46,0,3.83333333333333,3,110,351.247569367370,407.462186459489,170.764591564928,78.440345172031,15.1171076581576,0.339934269156854,0.423693923589937,0.231228146611780
"9432","dk3.1",64.3333333333333,25.1666666666667,0.666666666666667,25.8333333333333,97.4193548387097,2.58064516129032,NA,8,7.89583333333333,13,1.92307692307692,1,0.666666666666667,13,11.8461538461538,7,29,16.5,35.1666666666667,1.83333333333333,NA,343.439678373383,391.350482439926,164.121783733826,68.8996802218115,14.0860369685767,0.364334160949592,0.446755990899929,0.262610970380044
"9432","dk3.2",64.6666666666667,24.6666666666667,0.833333333333333,25.5,96.7320261437908,3.26797385620915,NA,3,21.3333333333333,7,3.52380952380952,1,0.666666666666667,7,21.8571428571429,4,15,63,78.3333333333333,1.5,NA,370.134160813309,395.344839186691,176.575062846580,70.8406876155268,13.8279038817006,0.376130183765026,0.433201906654851,0.253513149939096
"9432","dk4.1",74.1666666666667,99.5,6.5,106,93.8679245283019,6.13207547169811,NA,12,5.93055555555556,30,3.31666666666667,6,1.02777777777778,30,21.2,18,67,32.5,53.6666666666667,3.08333333333333,21.3333333333333,439.177245143386,481.045347826087,211.710825161887,95.678841813136,16.8777742830712,0.357545750224847,0.421387158701513,0.281970077326757
"9432","dk4.2",68.3333333333333,102.333333333333,9.5,111.833333333333,91.50521609538,8.49478390461997,NA,28,2.33928571428571,43,2.36821705426357,8,1.10416666666667,43,15.5348837209302,17,102,0,12.1666666666667,2.35416666666667,11.3095238095238,417.362602220167,470.687247918594,205.982154486586,98.2252016651249,17.0554569842738,0.348904866719586,0.450196642534448,0.246470334875706
